factory_name,product_type,nike_inc_brands,events,address,city,state,postal_code,country,operating_region,total_workers,line_workers,percent_female_workers,percent_migrant_workers,contact_name,contact_phone,contact_fax,contact_email,subcons,serialid
"HENG SHENG OPTICAL MANUFACTORY, LTD.",EQUIPMENT,NIKE,,"NO.43 XIN FENG ROAD, XI MIN VILLAGE, CHANG AN TOWN",DONGGUAN,GUANGDONG,523879,CHINA,Greater China,136,101,49,0,,,,,,224
HHD APPAREL CO. LTD.,APPAREL,NIKE,,"SHUANGGAO RD,GOBAI INDUSTRIAL ZONE, GAOCHUN TOWN, NANJING, JIANGSO",NANJING,JIANGSU,211316,CHINA,Greater China,180,102,90,0,,,,,,225
"HI TECH APPAREL CO LTD, BRANCH 70",APPAREL,NIKE,College,5/18 SOI SUKSAWAT 70 SOI 5 MOO 12 TUMBON BANGKRU AMPHER PRAPRADANG,BANGKRU,SAMUTPRAKARN,10130,THAILAND,Emerging Markets,1086,961,70,66.4,Samrit Prasampan,66(0)2-4640808,,Samrit@hi-group.com,,226
HI TECH APPAREL SURIN BRANCH,APPAREL,NIKE,,"489 MOO 7, PATTAMANON (214) ROAD",THATOOM,,32120,THAILAND,Emerging Markets,492,387,68,0,,,,,,227
HI-TECH,APPAREL,NIKE,,"388 MOO 15, BANCHUAN",BAMNETNARONG,CHAIYAPHUM,36160,THAILAND,Emerging Markets,270,180,66,0,,,,,,228
"HI-TECH  CHAIYAPHUM  APPAREL CO.,LTD.",APPAREL,NIKE,,"999 MOO 3 TUMBOL LADYAI, AMPHUR MUANG",MUANG,CHAIYAPHUM,36000,THAILAND,Emerging Markets,1154,790,69,13.2,,,,,,229
HI-TECH APPAREL CO. LTD.(SOI91),APPAREL,NIKE,,"328 PRACHAUTTI ROAD, BANGMOD THUNGKOC",BANGKOK,BANGKOK,10140,THAILAND,Emerging Markets,1094,744,81,0,,,,,,230
"HI-TECH CHAIYAPHUM APPAREL CO.,LTD.",APPAREL,NIKE,,"900 MOO 11,  TAMBOL  NASEIW",MUANG,CHAIYAPHUM,36000,THAILAND,Emerging Markets,460,300,68,0,,,,,,231
HIGHTIDE PRINT,APPAREL,NIKE,,"31 BITCON ROAD, VILLAGE DEEP",JOHANNESBURG,GAUTENG,,SOUTH AFRICA,Emerging Markets,120,99,45,2,,,,,,232
HINDUJA PROCESSING AND FINISHING,APPAREL,NIKE,,"NO.2, 5TH CROSS",BANGALORE,KARNATAKA,560 026,INDIA,Emerging Markets,760,559,82,0,,,,,,233
NEW HOLLAND APPAREL DE NICARAGUA S A,APPAREL,NIKE,,"PARQUE INDUSTRIAL ASTRO NICARAGUA, MODULO 2",MANAGUA,,,NICARAGUA,Emerging Markets,1946,1483,52,0.5,,,,,,234
HINI DAIKI INDONESIA,EQUIPMENT,CONVERSE,,"JL. RAYA CIAWI KP. KEBON BENCOY, DESA MEKARWANGI, KEC. CISAYONG",TASIKMALAYA,JAWA BARAT,46153,INDONESIA,Emerging Markets,610,505,42,0,,,,,,235
"HONG SENG KNITTING CO., LTD BRANCH THUNGKHU",APPAREL,NIKE,,"519/16, 519/48-50, PRACHAUTHID, RD, TUNGKRU",BANGKOK,,10140,THAILAND,Emerging Markets,422,402,64,89.6,,,,,,236
HONG SENG KNITTING COMPANY LIMITED.,APPAREL,"NIKE, HURLEY",,"287,289  SUKSAWAD 30, SUKSAWAD ROAD, BANGPAKOK",RATHJABURANA,BANGKOK,10140,THAILAND,Emerging Markets,2179,2042,66,53.5,,,,,,237
"HONG SENG THAI-VINA CO., LTD.",APPAREL,NIKE,,LOT 14-16 ROAD NO#3,DUC HAO HA COMMUNE,LONG AN,,VIETNAM,Emerging Markets,385,359,71,0,,,,,,238
HONSIN APPAREL SDN. BHD.,APPAREL,"NIKE, CONVERSE, HURLEY",,531 BATU 2 1/2,BATU PAHAT,JOHOR,83000,MALAYSIA,Emerging Markets,1352,1230,31,89.5,,,,,CHIT GUAN (BP) SDN BHD,239
HONSIN APPAREL SDN. BHD. (SEGAMAT BRANCH),APPAREL,NIKE,,NO 1 TO 8 JALAN BISTARI 2/1,SEGAMAT,JOHOR,85000,MALAYSIA,Emerging Markets,78,76,76,23.7,,,,,,240
HONWAYS APPAREL (SHUYANG) LIMITED,APPAREL,"NIKE, CONVERSE, HURLEY",,"NO. 9, JIAXING ROAD EAST, SHUYANG ECONOMIC DEV ZONE",JIANGSU PROVINCE,,223600,CHINA,Greater China,735,596,86,0.8,,,,,,241
"HOPE LAND ENTERPRISE CO.,LTD",APPAREL,NIKE,,"NO.125 ALLEY 491, SEC.1, LIU YIN ROAD. SHIN LIN TSUN, LIU YIN HSIANG",TAINAN,TAIWAN,736,TAIWAN,Greater China,113,85,65,0,,,,,"Hope Land Enterprise CO.,LTD",242
HUAIAN YUANGTONG HEADWEAR MFG CO LTD,APPAREL,NIKE,College,NO. 1 YAN HUANG AVENUE LIAN SHUI NEW INDUSTRIAL ZONE,HUAI AN,JIANGSU,223400,CHINA,Greater China,3905,2640,80,0.3,Shun xian Wang,86-517-82389838,86-517-82389858,dennis.wang@asiansha.com,,243
HUI ZHOU STELLA FOOTWEAR CO.LTD.,FOOTWEAR,NIKE,,"XINHU INDUSTRIAL DISTRICT, MA-AN TOWN",GUANGDONG PROVINCE,GUANGDONG,0,CHINA,Greater China,396,340,77,0,,,,,,244
HUIZHOU FORMOSA LUGGAGE MANUFACTURING CO. LTD.,EQUIPMENT,NIKE,College,"BIJIA INDUSTRIAL DISTRICT, PINHAI TOWN",HUIDONG,GUANGDONG,516363,CHINA,Greater China,575,460,57,0,MRS. SU CHEN,18927313808,,suchen@formosabag.com.cn,,245
"HUIZHOU YANGMING BAGS & CAPS.,LTD",EQUIPMENT,CONVERSE,,"DA ZHONG TANG#1,XIA JIAO,HUIZHOU CITY GUANGDONG,CHINA",HUIZHOU,GUANGDONG,516001,CHINA,Greater China,143,113,78,22.1,,,,," Golf Sales West, Inc.",246
HUNCHUN HONGFENG FACTORY CO. LTD,APPAREL,NIKE,,NO. 1 DISTRICT THE BORDER ECONOMIC COOPERATION ZONE,HUN CHUN CITY,JILIN,133315,CHINA,Greater China,110,100,66,0,,,,,,247
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,APPAREL,NIKE,,KM24 HIGHWAY NO.5  WARD MY HAO DIST,HUNG YEN,HUNG YEN,70000,VIETNAM,Emerging Markets,2400,2200,80,0,,,,,,248
HYUNDAI SPORTS,APPAREL,NIKE,,"#303 SAMSUNG IT VALLEY, 197-5 GURO-DONG",SEOUL,KOREA,152-050,SOUTH KOREA,Emerging Markets,21,19,78,5.3,,,,,,249
"I.S VIETNAM CO., LTD",APPAREL,NIKE,College,LOT A2-6 TAY BAC CU CHI IP.,HO CHI MINH CITY,HO CHI MINH CITY,84-8,VIETNAM,Emerging Markets,368,355,52,0,Thi Huynh Tran Ngo,84-932102472,84-838924948,huynhtranis2014@gmail.com,,250
IBEMA INDUSTRIA DE CONFECÃ‡Ã•ES LTDA,APPAREL,NIKE,,"RUA CIANORTE, 1262",IBEMA,PARANA,85478-000,BRAZIL,Emerging Markets,136,130,76,1.5,,,,,,251
IBSA,APPAREL,CONVERSE,,AV. ARGENTINA #2203,LIMA,,,PERU,Emerging Markets,61,32,51,0,,,,,,252
IMTEKS GIYIM SANAYI VE TICARET A.S.,APPAREL,"NIKE, CONVERSE",,D-100 KARAYOLU UZERI ALTINPINAR KOYU GIRISI,DUZCE,DUZCE,81400,TURKEY,Central and Eastern Europe,991,654,75,0,,,,,,253
INJEXTECH INC.,EQUIPMENT,NIKE,,"407 BEN TIAN RD., SEC. 2, ANNAN DIST.,",TAINAN,T'AI-WAN,71755,TAIWAN,Greater China,116,48,56,22.9,,,,,,254
INKWRIGHT LLC,APPAREL,HURLEY,,15222 CONNECTOR LANE,HUNTINGTON BEACH,CALIFORNIA,92649,USA,North America,52,33,61,0,,,,,Inkwright LLC,255
INOVA TEXTILES S.A. DE C.V.,APPAREL,CONVERSE,,"EJE 3 Y 4 LOTE, 10 Y 11 PARQUE INDUSTRIAL DE JILOTEPEC",JILOTEPEC,ESTADO DE MEXICO,54240,MEXICO,Emerging Markets,209,170,75,0,,,,,,256
INTERLOOP LIMITED,EQUIPMENT,NIKE,,"7 KM KHURRIANWALA JARANWALA ROAD, KHURRIANWALA",FAISALABAD,PUNJAB,37660,PAKISTAN,Emerging Markets,4584,3914,3,0,,,,,,257
INTIMATE FASHIONS INDIA (PVT) LIMITED,APPAREL,NIKE,,THIRUPORUR KOTTAMEDU HIGH ROAD,CHENNAI,TAMIL NADU,603202,INDIA,Emerging Markets,2899,2030,89,0,,,,,,258
INVERSORA KADOR SOCIEDAD ANONIMA - PUNTO CRUZ,APPAREL,"NIKE, CONVERSE",,"AV. BELGRANO 2617, GRAL PACHECO, BS AS., B1618AUU",GENERAL PACHECO,BUENOS AIRES,1618,ARGENTINA,Emerging Markets,122,102,70,19.6,,,,,,259
IRMAOS FONSECA BENEF. CALCADOS LTDA.,FOOTWEAR,CONVERSE,,"STREET CANOAS, NÂº183",RS,CEP,93950-000,BRAZIL,Emerging Markets,30,28,51,0,,,,,,260
IRONHEAD ORIGINALS INC.,APPAREL,NIKE,,"1160 TAPSCOTT ROAD, UNIT 4A",TORONTO,ONTARIO,M1X 1N3,CANADA,North America,14,3,75,0,,,,,,261
IRUNA SERIGRAFIA S.L.,APPAREL,NIKE,,"POL. IND MUTILVA BAJA, CALLE R N'71",MUTILVA BAJA,MUTILVA BAJA,31192,SPAIN,Western Europe,30,25,60,52,,,,,,262
JADE APPAREL INDUSTRIES SAE,APPAREL,NIKE,,THIRD INDUSTRIAL ZONE,ALEXANDRIA,,,EGYPT,Emerging Markets,421,325,41,1.2,,,,,,263
JADE TEXTILE EGYPT,APPAREL,NIKE,,"A-6 ZONE, 103-104",10TH OF RAMADAN CITY,SHARKIYYA,,EGYPT,Emerging Markets,1621,973,20,8.3,,,,,,264
JIAHONG LAUNDRY(ZHONGSHAN) LTD,APPAREL,CONVERSE,,"DAYAN INDUSTRIAL ESTATE, HUANGPU TOWN",ZHONGSHAN,GUANGDONG,528403,CHINA,Greater China,66,49,27,0,,,,,,265
JIANGSU ASIAN SOURCING HEADWEAR MFG.CO.LTD,APPAREL,"NIKE, CONVERSE, HURLEY",College,NO.2 SOUTH GUANGZHOU ROAD,HUAI AN,JIANGSU,223005,CHINA,Greater China,887,783,90,0,Jaffery Zhou,86-21-54885550*263,,jaffery@asiansha.com,,266
"JIANGSU JINHUBAO GARMENT CO., LTD",APPAREL,CONVERSE,,"LIDIAN TOWN, HANJIANG DISTRICT",YANGZHOU,JIANGSU,225106,CHINA,Greater China,159,135,80,0,,,,,,267
"JIANGXI GUANGJIA SHOES CO., LTD",FOOTWEAR,NIKE,,YONGQIANG BEI ROAD,NANCHANG,JIANGXI,330100,CHINA,Greater China,378,303,92,6.6,,,,,,268
"JIANGXI GUANGYOU SHOETOWN FOOTWEAR CO., LTD.",FOOTWEAR,NIKE,,"XIANGTANG VILLAGE, XIANGTANG TOWN",NANCHANG,JIANGXI,330201,CHINA,Greater China,3672,3161,80,11.3,,,,,"DongJin Textile, Duck San Textile, JSI, Tiong  Liong Industrial Co., Ltd., You Young, Yuan Ling",269
"JIANSHAN BENHUI PRINTING CO., LTD",APPAREL,NIKE,,"239 YUNSI ROAD, DAYUN TOWN, JIASHAN ZHEJIANG",JIAXING,ZHEJIANG,314113,CHINA,Greater China,25,16,44,56.3,,,,,,270
JIAXING DUOLING GARMENTS,APPAREL,"NIKE, CONVERSE",,"DUOLING INDUSTRIAL PARK, ZHAPU TOWN",JIANXING,ZHEJIANG,314201,CHINA,Greater China,585,525,70,0,,,,,,271
JIAXING QUANG VIET GARMENT CO. LTD.,APPAREL,NIKE,,PINGXINGXIAN TONGXINDUAN 318 XINDAI TOWN,PING HU,ZHEJIANG,314211,CHINA,Greater China,1405,1275,55,1.7,,,,,,272
"JIAXING SHINSUNG KANAAN  CO.,LTD",EQUIPMENT,"NIKE, CONVERSE",College,"QIXING INDUSTRIAL ZONE, XIUCHENG",JIAXIANG,ZHEJIANG,314002,CHINA,Greater China,675,623,85,0,Young Kun Lee,86-573-8388-5119,86-573-388-5101,yklee@kanaan.com.cn,"Jianshan Benhui Printing Co., Ltd",273
JIEXI COUNTY GUOYING SPORTS ARTICLES FACTORY,EQUIPMENT,NIKE,College,"HUIZHAI TOWN, JIEXI COUNTY, GUANGDONG,CHINA",JIEXI,GUANGDONG,,CHINA,Greater China,641,503,81,0,Fengmei Li,6635760232,6635766536,skfcr2006@21cn.com,Hapco Screen Printing,274
JING LUN ACCESSORIES LTD,EQUIPMENT,CONVERSE,,NO.2653 XINGGONG ROAD PINGHU ECONOMIC DEVELOPMENT ZONE,PINGHU,ZHEJIANG,314000,CHINA,Greater China,58,41,80,36.6,,,,,,275
"JINING YONGJIN SHOES CO., LTD.",FOOTWEAR,NIKE,,100 METERSÂ SOUTHWEST FROM THE CROSSROAD OF XI WAIHUAN ROAD AND GUANGCHANG ROAD,JI NING CITY,SHANDONG,272500,CHINA,Greater China,1500,1422,98,0,,,,,,276
JK  GARMENTS  (PVT)  LTD,APPAREL,NIKE,,"MADAGALLA ROAD,  IBBAGAMUWA, KURUNEGALA, SRI  LANKA",KURUNEGALA,NORTH  WESTURN,60500,SRI LANKA,Emerging Markets,820,782,80,0,,,,,,277
JNB TRADING S.A.,APPAREL,HURLEY,,KM13.5 CARRETERRA A EL SALVADOR,PUERTA PARADA,,314000,GUATEMALA,Emerging Markets,566,557,75,0,,,,,,278
JSI,FOOTWEAR,NIKE,,"1746-1, SONGJUNG-DONG,",BUSAN,BUSAN,0,SOUTH KOREA,Emerging Markets,758,487,10,0,,,,,,279
"K-L MFG. CO., INC.",APPAREL,NIKE,College,2726 N. MONROE ST.,SPOKANE,WASHINGTON,99205,USA,North America,123,105,72,0,Joseph Doohan,509.232.8650,509.326.2032,joe.doohan@klmfg.com,,280
KENT KNITTERS LTD.,APPAREL,NIKE,College,"12/F., LEE KING INDUSTRIAL BUILDING,",SAN PO KONG,KOWLOON,,HONG KONG (CHINA),Greater China,53,7,65,0,BENSON PUN,(852) 2324 0211,(852) 2352 3289,benson@kentknit.com,,281
KIANGTEX CO. LTD.,APPAREL,NIKE,,46 HOLLINGER ROAD,TORONTO,ONTARIO,M4B 3G5,CANADA,North America,53,46,87,0,,,,,,282
"KIM'S EMBROIDERY, INC.",APPAREL,NIKE,College,8770 SW BURNHAM STREET PO,PORTLAND,OREGON,97223,USA,North America,9,6,80,0,Min Matsumoto,503-684-1903,,kei.min@comcast.net,,283
KING GRAPHICS,APPAREL,CONVERSE,,8517 PRODUCTION AVE.,SAN DIEGO,CALIFORNIA,92121,USA,North America,70,60,56,0,,,,,,284
"KING RAY YENG INDUSTRIAL CO., LTD",EQUIPMENT,NIKE,,"NO.27, ALLEY 27, LANE 194, CHANGSHUI ROAD",CHANGHWA,T'AI-WAN,50071,TAIWAN,Greater China,134,78,54,34.6,,,,,,285
"KITAI  CO., LTD",EQUIPMENT,NIKE,,32 TAKA,KASHIBA,NARA,639-0241,JAPAN,Japan,56,50,55,0,,,,,,286
"KJ SPORTSWEAR (YANGZHOU) CO.,LTD.",APPAREL,HURLEY,,"SHIQIAO INDUSTRAL ESTATE,YANGZHOU ECONOMIC DEVELOPMENT ZONE",YANGZHOU,JIANGSU,225101,CHINA,Greater China,201,122,94,0,,,,,,287
"KUNSHAN SABRINA CLOTHES MAKING CO., LTD.",APPAREL,NIKE,College,NO.31 KONGXIANG EAST ROAD LUJIA TOWN,KUNSHAN,JIANGSU,215331,CHINA,Greater China,998,956,89,0,Joyce Chou,886-2-8913-1415,886-2-8913-1417,joyce@sabrina.com.tw,,288
L&H S.A,APPAREL,CONVERSE,,AV. MILAZZO 3251,PARQUE INDUSTRIAL PLATANOS,BERAZATEGUI,1885,ARGENTINA,Emerging Markets,22,14,52,7.1,,,,,,289
L.F.T INDUSTRIA DE CALÃ‡ADOS LTDA,FOOTWEAR,CONVERSE,,RUA SENADOR ALBERTO PASQUALINI 129 SALA A,VANINI,RS,99290000,BRAZIL,Emerging Markets,68,67,89,0,,,,,,290
LAKHANI FOOTWEAR PVT. LTD.,FOOTWEAR,CONVERSE,,"PLOT NO. 130, SECTOR 24",FARIDABAD,HARYANA,121005,INDIA,Emerging Markets,485,405,5,0,,,,,,291
LATITUDES,APPAREL,NIKE,College,2425 NE RIVERSIDE WAY,PORTLAND,OREGON,97211,USA,North America,84,75,60,0,Jamie McCrae,503-248-2060,503-248-2134,jamiem@latitudespdx.com,,292
"LEOTEX TEXTILE, S.A. DE C.V.",APPAREL,NIKE,College,BLVD. C.T.M. S/N,CD. OBREGON,SONORA,85097,MEXICO,Emerging Markets,2400,2364,81,2.2,Pedro Balderrama,(01644) 410-8888,(01644) 410-8880,pedro.balderrama@caltextile.com,,293
LES VETEMENTS SP APPAREL INC.,APPAREL,NIKE,College,1237 BOULEVARD INDUSTRIEL,GRANBY,QUEBEC,J2J 2B8,CANADA,North America,81,54,80,11.1,Serge Berard,(450) 776-6111,(450) 531-1224,serge.berard@spapparel.com,Les Vetements SP Apparel Inc.,294
LIEN HONG BAGS & ACCESSORIES MANUFACTURER,EQUIPMENT,"NIKE, CONVERSE",,"NIU SHAN INDUSTRIAL AREA, NIU SHAN DONGCHENG DISTRICT, DONG GUAN CITY, GUANGDONG PROVINCE, CHINA",DONG GUAN,GUANGDONG,,CHINA,Greater China,212,145,78,0,,,,,Lien Hong Bags & Accessories Manufacturer,295
LINEA  AITC,APPAREL,NIKE,,"MAS FABRIC PARK, KURUNEGALA RD,",THULHIRIYA,SABARAGAMUWA,KE 71610,SRI LANKA,Emerging Markets,420,232,80,0,,,,,,296
"LINYI SINO GOLF MANUFACTURING CO., LTD",EQUIPMENT,NIKE,,"TANCHENG ECONOMIC DEVELOPMENT ZONE,",LIN YI,SHANDONG,276188,CHINA,Greater China,1118,948,60,5.2,,,,,,297
LISI CALÃ‡ADOS E COSTURA LTDA,FOOTWEAR,NIKE,,"RUA SETE DE SETEMBRO, 141, BAIRRO CENTRO",SANTA CLARA DO SUL,RS,95915-000,BRAZIL,Emerging Markets,94,88,74,0,,,,,,298
LISTON TEXTEILDRUKKERIJ,APPAREL,NIKE,,RAFAÃ‹LWEG 54,SUSTEREN,LIMBURG,6114 BZ,NETHERLANDS,Western Europe,10,5,90,0,,,,,,299
LONG AN EXPORT GARMENT JOINT STOCK COMPANY (LASGE),APPAREL,NIKE,,"1ST NATIONAL ROAD, 4TH QUARTER",TAN AN,LONG AN,84-72,VIETNAM,Emerging Markets,1600,1400,77,0,,,,,,300
LONG CHUAN SIMONA FOOTWEAR CO. LTD,FOOTWEAR,NIKE,,XIN CHENG LONG CHUAN,HEYUAN,GUANGDONG,517300,CHINA,Greater China,6154,5308,81,0,,,,,,301
"LONG FA SHOES INDUSTRIAL (HUIZHOU) CO., LTD.",FOOTWEAR,NIKE,,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY",HUIZHOU,GUANGDONG,516121,CHINA,Greater China,8840,7602,52,0,,,,,,302
"LONG JOHN TSUNG RIGHT INDUSTRIAL CO.,LT",FOOTWEAR,NIKE,,NO.350 FUHSING RD.,CHANGHWAN HSIEN,T'AI-WAN,0,TAIWAN,Greater China,260,176,40,46.6,,,,,,303
"LONG YUE SHOES INDUSTRIAL  (HUI  ZHOU)CO.,LTD.",FOOTWEAR,NIKE,,"LONGTING INDUS.PARK, LONGQIAO AVENUE,LONGXI TOWN, BOLUO COUNTY",HUIZHOU,GUANGDONG,516000,CHINA,Greater China,1541,1274,64,0,,,,,,304
"LONGCHUAN SOMONA FOOTWEAR CO.,LTD WUHUA BRANCH",FOOTWEAR,NIKE,,SHUIZHAI INDUSTRY GARDEN,MEIZHOU,GUANGDONG,514400,CHINA,Greater China,778,689,90,0,,,,,,305
LONGWAY  (YAYORK PLASTICAL PRODUCTS(SHEN ZHEN ) CO.LTD),EQUIPMENT,NIKE,,"7TH BUILDING,6TH INDUSTRIAL ESTATE, TIAN LIAO VILLAGE, GONG MING,BAO-AN",SHENZHEN,GUANGDONG,518132,CHINA,Greater China,1100,872,70,0,,,,,,306
LOTUS FOOTWEAR ENTERPRISES LIMITED UNIT-2,FOOTWEAR,NIKE,,"PLOT 3C, SIPCOT INDUSTRIAL PARK, MATHUR MANGAL VILLIAGE, CHEYYAR TALUK",NEAR KANCHIPURAM,TAMIL NADU,631701,INDIA,Emerging Markets,1978,1376,65,0,,,,,,307
LOTUS FOOTWEAR ENTERPRISES LTD (FENG TAY),FOOTWEAR,NIKE,,"SEZ, PLOT 3B,  SIPCOT INDUSTRIAL PARK",TIRUVANNAMALAI DISTRICT,TAMIL NADU,631701,INDIA,Emerging Markets,7125,5937,54,0,,,,,,308
LUPO S.A.,EQUIPMENT,NIKE,,"RODOVIA WASHINGTON LUIZ KM 276,5",ARARAQUARA,SP,14801-905,BRAZIL,Emerging Markets,5137,3780,79,0,,,,,,309
LYNKA,APPAREL,NIKE,,UL. JOZEFA MARCIKA 4,KRAKOW,,30-443,POLAND,Central and Eastern Europe,169,124,60,0,,,,,,310
M/S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - UNIT VI,APPAREL,"NIKE, HURLEY",,"PLOT NO.143-146 & 151-155, SUNDER INDUSTRIAL ESTATE, RAIWIND ROAD",LAHORE,PUNJAB,54700,PAKISTAN,Emerging Markets,1644,1552,18,0,,,,,,311
MACHINE INDUSTRIES PTY LTD,APPAREL,HURLEY,,FACTORY 2/204 GIPPS ST,ABBOTSFORD,VIC,3067,AUSTRALIA,Emerging Markets,16,12,25,0,,,,,,312
"NICE APPAREL CO., LTD.",APPAREL,NIKE,,149 MOO 2 HIGHWAY NUMBER 207 ROAD,KHONKEAN,,40120,THAILAND,Emerging Markets,1193,1153,75,0,,,,,Advanced Printing (Thailand) Company Limited,313
MANDARIN KNITS GARMENT (PRIVATE) LIMITED,APPAREL,CONVERSE,,"PHASE 1, LINK ROAD 1, INVESTMENT PROMOTION ZONE, KATUNAYAKE, SRI LANKA",KATUNAYAKE,WESTERN,,SRI LANKA,Emerging Markets,321,175,65,0,,,,,,314
MANUFACTURADORA TEXTIL DE HONDURAS,APPAREL,NIKE,,ZIP CALPULES EDIFICIO 8,SAN PEDRO SULA,CORTES,C.A.,HONDURAS,Emerging Markets,422,399,65,0,,,,,,315
MANUFACTURAS KALTEX,APPAREL,CONVERSE,,RANCHO LOS MEJIA S/N,SAN JUAN RÃçO,QUERÃ‰TARO,76800,MEXICO,Emerging Markets,1168,986,52,0,,,,,,316
MARCHON ITALIA SRL,EQUIPMENT,NIKE,,V.LE ALPAGO 151,PUOS Dâ€™ALPAGO,VENETO,32015,ITALY,Western Europe,248,114,66,0,,,,,,317
MAROBE SRL,APPAREL,CONVERSE,,VIA DELLA SOLDARA 13,VANZAGHELLO (MI),,20020,ITALY,Western Europe,24,20,80,0,,,,,,318
MARP INDUSTRIA TEXTIL,APPAREL,HURLEY,,"RUA BAHIA, 7683",BLUMENAU,SANTA CATARINA,89032 002,BRAZIL,Emerging Markets,300,250,80,0,,,,,,319
MAS ACTIVE (PVT) LIMITED - LEISURELINE,APPAREL,NIKE,,"PHASE 1, SPUR ROAD 2",KATUNAYAKE,WESTERN PROVINCE,11450,SRI LANKA,Emerging Markets,714,403,71,0,,,,,,320
MAS ACTIVE (PVT) LTD - CONTOURLINE DIVISION,APPAREL,NIKE,College,"KANDY INDUSTRIAL PARK , BOI",PALLEKELE,CENTRAL PROVINCE,20000,SRI LANKA,Emerging Markets,1548,1387,74,0,Venura Venura Attanayake,94773444364,,VenuraA@masholdings.com,,321
MAS ACTIVE (PVT) LTD. - SHADOWLINE DIVISION,APPAREL,NIKE,,"LOT NO. 53, PHASE II",KATUNAYAKE,WESTERN PROVINCE,11450,SRI LANKA,Emerging Markets,1290,1116,63,0,,,,,,322
MAS ACTIVE (PVT.) LTD - SYNERGY,APPAREL,"NIKE, HURLEY",,"A3, SEETHAWAKA EXPORT PROCESSING ZONE",AVISSAWELLA,WESTERN,10700,SRI LANKA,Emerging Markets,1750,1600,73,0,,,,,,323
MAS ACTIVE (PVT.) LTD. -  LINEA INTIMO,APPAREL,NIKE,College,"LOT 89A, BIYAGAMA EXPORT PROCESSING ZONE",BIYAGAMA,WESTERN PROVINCE,,SRI LANKA,Emerging Markets,2270,1936,53,0,Eranga Dilhan,94777419963,,ErangaDi@masholdings.com,,324
MAS ACTIVE TRADING (PVT) LTD - LINEA INTIMO (MDC),APPAREL,NIKE,,"LOT 49, 58, 59 BEPZ",COLOMBO,SRI LANKA,4,SRI LANKA,Emerging Markets,784,685,75,0,,,,,,325
MAS ACTIVE TRADING PVT LTD - VAANAVIL DIVISION,APPAREL,NIKE,,"PLOT NO 2, AGRICULTURE FACULTY ROAD",COLOMBO,SRI LANKA,42000,SRI LANKA,Emerging Markets,940,842,91,0,,,,,,326
MAS AKSHAYA SPORTSWEAR PVT LTD,APPAREL,NIKE,,"MAS FABRIC PARK, CHINTHAVARAM, SHILLAKUR MANDAL",ANDHRA PRADESH,TAMIL NADU,524412,INDIA,Emerging Markets,330,160,79,0,,,,,,327
MAS FABRICS (PVT.) LTD - MATRIX,FOOTWEAR,NIKE,College,KURUNEGALA RD,THULHIRIYA,SRI LANKA,0,SRI LANKA,Emerging Markets,1449,1156,54,0,Ivan Brown,94 77 363 3487,,IvanB@masholdings.com,,328
MASSIVE PRINTS,APPAREL,HURLEY,,2035 E. VISTA BELLA WAY,RANCHO DOMINGUEZ,CA,90220,USA,North America,260,213,64,0,,,,,,329
MATSUDA BABY SANGYO,EQUIPMENT,NIKE,,"82-2,TERADA-CHO",KASHIHARA,NARA,634-0817,JAPAN,Japan,31,27,67,33.3,,,,,,330
MAXPORT J.S.C,APPAREL,NIKE,College,"88 HA DINH, THANH XUAN DIST.",HA NOI CITY,HA NOI,8000,VIETNAM,Emerging Markets,507,404,80,0,Ha Pham Thu,84-4-38583225,84-4-38583230,ha.pt@maxport-jsc.com.vn,,331
MC CREATIONS INC.,APPAREL,"NIKE, CONVERSE, HURLEY",,"83 HOBART STREET,",HACKENSACK,NEW JERSEY,7601,USA,North America,19,17,58,0,,,,,,332
MD APPAREL-HYUN JIN S.A.,APPAREL,HURLEY,,"AVE PETAPA 52-30, AVE PETAPA 52-30",GUATEMALA CITY,,0,GUATEMALA,Emerging Markets,590,365,60,4.1,,,,,,333
MEMTEKS TEKSTIL SAN. VE TIC. A.S.,APPAREL,NIKE,,"CIHANGIR MAHALLESI, ORD. PROF. DR. ALI FUAT BASGIL CAD.",ISTANBUL,ISTANBUL,34310,TURKEY,Central and Eastern Europe,322,132,70,0,,,,,,334
MENLO WORLDWIDE LOGISTICS / NIKE GOLF,EQUIPMENT,NIKE,,"5295 LOGISTICS DRIVE, SUITE 105",MEMPHIS,TN,38118,USA,North America,30,16,50,0,,,,,,335
MILTEKS TEKSTIL SANAYI VE TICARET A S,APPAREL,NIKE,,BAKSAV,BEYLIKDUZU,ISTANBUL,34520,TURKEY,Central and Eastern Europe,212,122,41,0,,,,,,336
MILTEKS TEKSTIL SANAYI VE TICARET A.S. (AJARA TEXTILE LTD),APPAREL,NIKE,,3 TBETI STREET,BATUMI,ADJARA,6000,GEORGIA,Central and Eastern Europe,587,527,96,0,,,,,,337
"MORNING SUN SHIRT CO., DBA ISLAND WAYS, INC. (HURLEY)",APPAREL,"NIKE, CONVERSE, HURLEY",,12300 MONARCH ST.,GARDEN GROVE,CALIFORNIA,92841,USA,North America,101,89,90,0,,,,,,338
